Order_ID,Order_Date,Product_ID,Customer_ID,Rep_ID,Region,Units_Sold,Unit_Price_NGN,Discount_Pct
ORD00001,2022-04-13,PRD0005,CUS0052,REP008,Port Harcourt,47,1100,0
ORD00002,2024-02-16,PRD0023,CUS0042,REP008,Port Harcourt,66,220,0
ORD00003,2022-04-17,PRD0002,CUS0102,REP004,Port Harcourt,89,480,0
ORD00004,2022-03-05,PRD0015,CUS0001,REP001,Abuja,36,1200,0
ORD00005,2024-08-27,PRD0010,CUS0030,REP010,Lagos,38,430,0.15
ORD00006,2024-01-26,PRD0029,CUS0096,REP007,Abuja,97,2600,0
ORD00007,2022-12-02,PRD0001,CUS0092,REP002,Port Harcourt,45,650,0.05
ORD00008,2024-02-08,PRD0002,CUS0033,REP007,Kano,94,480,0.15
ORD00009,2023-05-13,PRD0024,CUS0045,REP010,Lagos,82,180,0.15
ORD00010,2022-09-05,PRD0011,CUS0059,REP005,Ibadan,90,380,0
ORD00011,2022-05-22,PRD0001,CUS0054,REP010,Ibadan,59,650,0.15
ORD00012,2024-09-30,PRD0016,CUS0055,REP009,Lagos,112,1850,0.05
ORD00013,2022-11-10,PRD0029,CUS0083,REP001,Kano,40,2600,0.05
ORD00014,2024-09-17,PRD0006,CUS0093,REP003,Kano,115,950,0
ORD00015,2022-06-27,PRD0020,CUS0037,REP008,Port Harcourt,78,1650,0.05
ORD00016,2024-02-16,PRD0024,CUS0077,REP002,Port Harcourt,29,180,0.05
ORD00017,2023-03-11,PRD0006,CUS0052,REP006,Port Harcourt,82,950,0.1
ORD00018,2023-07-20,PRD0027,CUS0084,REP005,Ibadan,16,2200,0
ORD00019,2024-04-12,PRD0018,CUS0038,REP007,Kano,88,490,0.1
ORD00020,2024-10-02,PRD0006,CUS0013,REP001,Kano,57,950,0.1
ORD00021,2023-05-14,PRD0012,CUS0077,REP006,Port Harcourt,50,580,0.05
ORD00022,2023-11-09,PRD0007,CUS0042,REP008,Port Harcourt,35,280,0
ORD00023,2023-01-30,PRD0028,CUS0087,REP002,Port Harcourt,94,2800,0
ORD00024,2023-01-28,PRD0006,CUS0076,REP007,Abuja,81,950,0.15
ORD00025,2024-12-10,PRD0023,CUS0019,REP009,Ibadan,43,220,0
ORD00026,2024-01-10,PRD0019,CUS0001,REP003,Abuja,22,820,0
ORD00027,2022-04-04,PRD0018,CUS0045,REP010,Lagos,22,490,0.1
ORD00028,2024-10-02,PRD0006,CUS0090,REP005,Lagos,67,950,0.05
ORD00029,2023-11-29,PRD0027,CUS0041,REP001,Abuja,67,2200,0
ORD00030,2022-05-14,PRD0013,CUS0013,REP003,Kano,93,560,0
